fips,state,county,yrs_lost_rate,sroh_fairpoor,phys_days,ment_days,pct_smokers,pct_obese,food_envir,inactive,binge_drink,uninsured,some_college,unemployed,income_ratio,social_assoc,air_pollution,housing_prob,drive_alone,phys_distress,ment_distress,food_insecure,poor_sleep,health_costs,hh_income,population,pct_65plus,pct_nhwhite,not_english,pct_female,pct_rural,rural_cat,race_cat
6097,California,Sonoma,4690.1,13.97170914,3.526531815,3.5535547,11.55566927,20.9,8,13.8,20.02245016,12.82482552,62.9700395,4.486371877,4.477966462,6.975926059,6.8,24.69837337,75.85578916,10.46445827,10.64958874,12.4,28,7390.62,66.463,502146,17.47121355,64.28150379,5.83077429,51.06383402,12.35352713,Urban,High
6099,California,Stanislaus,7078.3,19.66680389,4.595791568,4.106390283,14.41828739,32.6,7.3,20,17.52639129,12.76797797,50.66291999,9.506406823,4.646994691,5.582738249,10,27.11448003,80.20652174,13.50984836,12.49365197,15,33.4,8741.07,51.949,538388,12.50473636,43.52938773,9.873870405,50.53455872,7.980709608,Urban,High
6101,California,Sutter,6622.1,18.04244194,4.159712171,3.77074113,12.40715536,28.7,6.3,21.9,16.80223263,14.60368964,54.11740642,10.76209174,4.805139487,5.842645049,7.1,25.13790386,76.9144575,12.143488,11.48809262,16.9,31.6,7979.4,50.81,96463,14.8678768,47.20566435,9.892315499,50.36127842,14.79780867,Urban,High
6103,California,Tehama,7473,17.3341585,4.238666589,4.150466595,13.93319323,27.2,6.8,24.7,17.36146942,13.28019954,51.79282869,7.955537912,4.415906815,6.818145782,7.3,19.01604278,76.52532701,12.73270248,12.54490909,15.7,31.8,7385.67,40.292,63308,18.1351488,68.94705251,3.66794061,50.21640235,51.48826876,Rural,High
6105,California,Trinity,10873.3,16.25090092,4.289937689,4.177760155,14.54480181,25.1,6.4,19.8,16.85573955,12.70757392,63.92215569,7.80291411,4.841887115,4.555808656,5.6,20.19400353,65.34716342,12.77495738,12.79441943,18.2,29.8,7313.27,37.669,13069,24.55428878,82.57709083,0.78486775,48.71068942,100,Rural,Middle
6107,California,Tulare,6922.3,26.25216814,4.972389966,4.310709242,14.37818881,32.6,7.1,21.6,16.77967911,16.73544891,43.73519689,11.6627006,4.737017238,4.517697589,13.7,28.13734427,76.50886137,15.97104662,13.85618511,14.4,33,8173.65,42.637,459863,10.6873134,29.62295292,14.55394976,49.94313524,15.47993007,Urban,High
6109,California,Tuolumne,6985.5,13.40887205,3.67707313,3.758410592,13.1200344,20.2,6.7,16.8,19.76528873,11.52231872,55.65395095,7.125352569,4.24260114,9.102561721,7.6,22.49716232,78.03210936,10.7103566,11.04811089,16.2,29.3,7552.19,53.136,53709,24.15982424,80.80954775,1.113319312,48.03478002,48.96595322,Suburban,Middle
6111,California,Ventura,4612.3,15.08224147,3.671398323,3.504633942,9.920187825,20.3,8.7,18.1,17.31042336,13.11606065,61.99555396,5.685414069,4.372503149,6.145279126,10.2,25.0996911,77.05153344,10.55892541,10.5815959,9.4,27.3,9252.34,79.285,850536,14.06125079,46.08211763,10.09553472,50.52437522,3.124552117,Urban,High
6113,California,Yolo,5210.6,16.25390207,3.851152202,3.758166541,11.8787885,22.7,7.5,15.3,19.01543427,11.31071825,68.76359088,6.411021681,5.834021269,6.551375307,8.7,24.24479352,66.92003817,11.6950736,11.4550591,15.2,32.2,6432.98,58.766,213016,11.73339092,47.59126075,7.242515384,51.40224209,6.929583916,Urban,High
6115,California,Yuba,7914.2,18.33960605,4.278579382,4.090524978,15.3821705,24.8,5.9,15.7,18.58957286,14.25246334,55.02839624,9.24050183,4.287868983,4.461509342,8,24.81481482,76.41021713,12.80435588,12.34543698,18.1,32,8377.56,46.5,74492,11.76636417,55.97111099,5.652199727,49.17575042,26.22271499,Suburban,High
8001,Colorado,Adams,6506.1,15.87226371,3.644232991,3.374293974,17.10939917,26.3,8.2,18.9,18.15673306,15.33512825,56.48387141,4.331052202,3.781506849,4.742905404,9.1,18.44180492,77.56509644,10.97736526,10.43096331,10.7,31.7,9625.88,62.991,491337,9.766616396,51.35029522,6.808468481,49.58368696,3.620446419,Urban,High
8003,Colorado,Alamosa,9035.2,19.89742002,4.259806005,3.941028614,18.37270279,23,7.8,16.8,17.07718684,15.7545861,58.75443868,5.15774316,6.068906883,13.59955492,4.9,18.67572156,72.97820823,13.83349167,12.56431234,14,28.3,7188.86,40.067,16496,12.83947624,48.99975752,2.614465826,49.81813773,36.86629977,Suburban,High
8005,Colorado,Arapahoe,5237.9,12.11353374,3.164280842,3.313771468,14.85250381,21.4,7.7,15.9,17.13508036,12.15127516,72.46483043,3.718040621,4.227903605,7.708206412,8.1,17.78097983,78.1242785,9.244831078,9.771187731,14,30.2,9226.38,67.062,631096,12.19592582,61.58207309,4.286471644,50.68515725,1.575341388,Urban,High
