fips,state,county,years_lost_rate,sroh_fairpoor,phys_days,ment_days,lbw_pct,smoker_pct,obese_pct,food_env,inactive_pct,exer_access,exc_drink,alc_drive,sti_rate,teen_births,uninsured,pcp_ratio,prev_hosp,hsgrads,unemployed,poor_kids,income_ratio,associations,pm2.5,h2oviol,sev_housing,drive_alone,age-adj-mortality,dm_prev,freq_phys_distress,freq_mental_distress,food_insecure,insuff_sleep,health_costs,median_income,population,age65plus,african-am,hispanic,white,female,rural
39045,Ohio,Fairfield,5909,14.59,3.69,3.88,7.09,19.3,32.6,7.5,25,81.65,17.82,27.27,264,25.74,8,1566,54.31,94.6,4.31,12.4,4.411,10.24,11.7,Yes,14.15,85.38,308.2,11.1,10.7,11.3,13.2,34.6,10459.51,61450,151408,14.88,7.14,2.12,87.36,50.27,34.71
39047,Ohio,Fayette,9706,16.51,4.03,4.13,8.72,20.41,33.4,7.4,29.4,59.17,16.04,26.67,305.6,48.94,10.96,2618,72.58,92.5,4.93,26.2,4.225,11.11,11.2,No,16.02,85.04,504.8,13,12.3,12.7,16.1,35,9711.68,45068,28679,16.97,2.22,1.96,93.09,50.47,47.75
39049,Ohio,Franklin,7485,15.09,3.65,3.93,9.24,19.66,29.7,6.6,22.2,95.02,20.27,32.35,674,36.31,11.16,993,49.17,66.3,4.07,24.5,4.803,9.86,12.3,Yes,17.53,81.36,382.9,9.9,11.3,12,17.9,38,9720.21,53939,1251722,11.07,21.95,5.19,65.11,51.26,1.35
39051,Ohio,Fulton,7663,13.56,3.52,3.64,6.45,16.88,36.7,8.1,26.9,54.74,16.7,27.78,247.1,27.4,8.45,2241,57.17,74.9,4.91,12.4,3.636,14.56,11.1,Yes,11.36,87.57,332.1,13.4,10.4,11.1,11.6,34.6,9479,58782,42537,16.62,0.5,8.35,89.58,50.51,56.16
39053,Ohio,Gallia,11044,18.63,4.36,4.18,8.34,21.55,32.3,7.2,32.2,50.01,14.92,28.57,235.1,42.35,12.06,868,63.89,92.5,6.49,32.4,4.925,12.17,10.9,No,13.52,85.03,503.8,14.5,13.2,13.2,16.1,38.2,10230.12,38738,30142,17.45,2.56,1.34,93.56,50.78,81.35
39055,Ohio,Geauga,4511,13.03,3.22,3.59,5.84,16.13,27,8.5,24.9,90.02,17.4,35.56,109.6,8.88,10.12,1407,46,94.2,4.03,8.8,4.138,9.65,11.4,No,13.99,80.85,227.1,11.8,9.7,10.7,10.3,33.5,9522.6,76315,94102,18.6,1.32,1.39,95.61,50.6,63.97
39057,Ohio,Greene,5848,14.76,3.52,3.73,7.51,18.37,31.3,7.3,24,76.5,18.45,36.96,346.2,18.21,9.29,1107,43.92,90,4.39,16.2,4.879,10.26,11.3,Yes,14.33,84.03,302.5,10.5,10.7,11.3,14.5,33.8,10043.19,61250,164427,16.01,7.13,2.84,84.02,50.77,14.91
39059,Ohio,Guernsey,8855,18.52,4.24,4.19,8.2,20.89,36.4,7.2,30.5,48.09,16.72,24.14,275,38.1,11.17,2084,96.68,86.9,6.25,28.7,4.565,16.17,11.1,No,12.4,87.37,469.9,12.6,12.6,12.8,15.4,39.3,10270.3,41630,39258,17.88,1.61,1.13,94.63,50.59,61.42
39061,Ohio,Hamilton,8385,15.17,3.68,3.62,9.8,18.56,29.2,6.3,22.2,94.63,19.49,38.24,811.2,35.97,10.09,953,45.53,73.2,4.49,23.1,5.841,10.74,12.5,No,17.83,79.71,410.1,11,11.7,11.7,18.6,33.9,9918.98,51070,807598,14.37,25.89,3,66.35,51.88,2.23
39063,Ohio,Hancock,5788,14.57,3.68,3.74,7.53,16.57,31.4,7.6,22.4,76.21,17.2,33.33,286.4,27.17,8.48,1932,46.62,91.5,3.65,14.6,4.192,14.2,11.2,Yes,10.93,83.43,327.3,11.5,10.9,11.6,12.9,31.6,8372.67,55265,75573,16.34,1.68,5.28,89.6,50.88,31.11
39065,Ohio,Hardin,8590,16.75,3.88,4.06,8.83,20.95,35.2,7.6,28.9,48.8,17.45,25,221.2,31.22,9.89,3533,92,86,4.68,21.2,4.093,13.52,11.2,No,14.56,81.82,420.8,9.6,12.1,12.7,15.1,34.7,10178.45,44101,31682,15.04,0.95,1.62,95.18,50.53,55.38
39067,Ohio,Harrison,9410,16.76,4.13,4.13,7.32,19.13,30.3,7.8,28.1,53.66,15.81,21.74,211.2,45.04,10.62,3886,92.61,82.5,6.25,24.3,4.143,16.73,11.1,Yes,13.45,81.9,461.5,13.2,12.2,12.4,14.5,36.5,11618.8,44221,15450,20.02,2.2,0.93,95.09,50.87,84.11
39069,Ohio,Henry,5890,13.93,3.39,3.74,5.9,16.63,29.2,8,24.9,41.61,17.93,34.48,256.3,25.24,8.6,2794,63.17,95.9,5.61,13.9,3.678,17.54,11.2,Yes,11.22,87.63,315.7,11.8,10.5,11.4,12.1,34.2,9508.58,56986,27816,18.05,0.63,7.57,90.2,50.87,69.08
39071,Ohio,Highland,9598,18.55,4.3,4.25,8.92,23.73,32.1,7.3,26.4,57.66,15.03,40,256.4,47.71,11.67,2870,75.29,88,6.34,27.6,4.552,12.78,10.9,Yes,16.46,80.33,478.2,11,13.1,13.2,16.5,35.5,10902.44,41494,43026,17.41,1.47,0.9,95.55,51.05,73
